epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.314,1.18145,4.01083,1.47555,0.81542,0.18056,0.20281,0.17379,0.82854,6.11421,1.02522,3.213e-05,3.213e-05,3.213e-05
2,1157.09,0.93715,2.62282,1.24413,0.76104,0.24085,0.25773,0.22081,0.77464,3.0439,1.01539,5.43997e-05,5.43997e-05,5.43997e-05
3,1734.06,0.92638,2.12085,1.22282,0.57108,0.375,0.47368,0.39472,0.79751,2.4088,1.13954,6.25321e-05,6.25321e-05,6.25321e-05
4,2300.5,0.88831,1.69459,1.20961,0.46558,0.53424,0.378,0.29489,0.84104,2.98185,1.14394,5.65274e-05,5.65274e-05,5.65274e-05
5,2866.7,0.82593,1.63449,1.18062,0.67735,0.4108,0.41117,0.32629,0.84206,2.20116,1.1443,3.63854e-05,3.63854e-05,3.63854e-05
